jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-075ca5e1-9a20-4d23-9b8c-b22e97eaa092-master-0   1/1     Running           0          6s,4,1250m,0.01,272,3,
trainjob-cf466230-9e22-4803-b1b2-61fd64b86fa5-master-0   1/1     Running           0          7s,4,1250m,0.01,288,1,
trainjob-06cc5300-2027-4de6-ac28-4ca470fa76ba-master-0   1/1     Running   0          6s,4,1250m,0.01,288,2,
trainjob-31a65b84-faba-4d01-952c-086dc742dfb0-master-0   1/1     Running   0          8s,4,1250m,0.01,288,3,
trainjob-e9c58ed7-b264-4be2-b955-d88c339147dc-master-0   1/1     Running           0          7s,4,1250m,0.01,304,1,
trainjob-8e98a8d1-003c-4ed1-ac06-116f7462aa93-master-0   1/1     Running   0          6s,4,1250m,0.01,304,2,
trainjob-5c0125d2-d01c-4d7e-888d-0e1db5cc4323-master-0   1/1     Running           0          5s,4,1250m,0.01,304,3,
trainjob-eb8ecc1b-0d0b-4a07-a8b3-367e08e601ca-master-0   1/1     Running           0          6s,4,1250m,0.01,320,1,
trainjob-eed534aa-0ad8-449c-b929-bf8d37fc02fc-master-0   1/1     Running   0          5s,4,1250m,0.01,320,2,
trainjob-963ddfea-43e0-4e00-9e33-d94a5c32b6bd-master-0   1/1     Running   0          5s,4,1250m,0.01,320,3,
trainjob-cd276067-6a4a-4f4b-834a-adc044bebf22-master-0   1/1     Running           0          6s,4,1250m,0.01,336,1,
trainjob-b5f6ecd8-07bf-4753-a573-7f596c9d8091-master-0   1/1     Running   0          6s,4,1250m,0.01,336,2,
trainjob-cc569006-dedb-4c2b-ae38-3e52991751bd-master-0   1/1     Running           0          5s,4,1250m,0.01,336,3,
trainjob-5caf6c42-ccc4-4e9e-bbac-b95aa6d53e40-master-0   1/1     Running           0          6s,4,1250m,0.01,352,1,
trainjob-73c6cc79-433f-40ec-8fd6-951b838bd77a-master-0   1/1     Running           0          6s,4,1250m,0.01,352,2,
trainjob-83d1002e-97a6-4f6d-a641-0129e8038cb1-master-0   1/1     Running           0          6s,4,1250m,0.01,352,3,
trainjob-95f4cdf5-f6b1-44d3-8f20-a81eb0ebf86e-master-0   1/1     Running           0          7s,4,1250m,0.01,368,1,
trainjob-bda9c452-36c4-41bd-bece-12082cce8c46-master-0   1/1     Running           0          6s,4,1250m,0.01,368,2,
trainjob-d939fb33-9c26-419f-a314-a2d2dca7b225-master-0   1/1     Running   0          5s,4,1250m,0.01,368,3,
trainjob-69d3c495-e1a6-4bfb-bcb5-f4363a158906-master-0   1/1     Running           0          10s,4,1250m,0.01,384,1,
trainjob-905e5f8d-85f2-4d54-9200-692c61a2fce0-master-0   1/1     Running   0          5s,4,1250m,0.01,384,2,
trainjob-882e088a-73b0-408e-b36d-268b659abdfd-master-0   1/1     Running   0          6s,4,1250m,0.01,384,3,
trainjob-dd408c7b-972d-4d75-bf09-a239303f5dfc-master-0   1/1     Running           0          6s,4,1250m,0.01,400,1,
trainjob-4476a1b8-2332-4584-b341-0c0189d36d55-master-0   1/1     Running   0          6s,4,1250m,0.01,400,2,
trainjob-588eef89-5bf2-4a22-9a50-70594a0b29a2-master-0   1/1     Running   0          5s,4,1250m,0.01,400,3,
trainjob-7d95d002-9319-43d5-b6be-9f329276fbd2-master-0   1/1     Running           0          5s,4,1250m,0.01,416,1,
trainjob-38c8dcdc-0a04-407a-892d-b982ac4381fe-master-0   1/1     Running           0          6s,4,1250m,0.01,416,2,
trainjob-2f68e7f0-1d1a-4d05-9ed9-1fd2fd303d6f-master-0   1/1     Running           0          6s,4,1250m,0.01,416,3,
trainjob-5b46e3dd-aed8-4ceb-af76-27ba102ea40e-master-0   1/1     Running           0          6s,4,1250m,0.01,432,1,
trainjob-0320eeea-667f-4135-bb7c-60fa145e243f-master-0   1/1     Running   0          6s,4,1250m,0.01,432,2,
trainjob-90229fdb-a3ff-43e0-ac0f-6afc057f83a6-master-0   1/1     Running   0          8s,4,1250m,0.01,432,3,
trainjob-169bd9d2-f9b8-4358-ad7f-077cdeec3985-master-0   1/1     Running           0          7s,4,1250m,0.01,448,1,
trainjob-6f465589-d277-491b-a7dc-ecdb5e48828b-master-0   1/1     Running   0          8s,4,1250m,0.01,448,2,
trainjob-c4cad2d3-855f-4c9c-9855-4ad688f23399-master-0   1/1     Running   0          5s,4,1250m,0.01,448,3,
trainjob-794b4c3e-de52-482b-ad3b-2c1ca63aa175-master-0   1/1     Running           0          9s,4,1250m,0.01,464,1,
trainjob-4c99cb27-dc61-4b19-9ec8-d981c2895075-master-0   1/1     Running   0          6s,4,1250m,0.01,464,2,
trainjob-01095b80-a2a8-4a37-b3ca-57b9b1d1bff4-master-0   1/1     Running   0          5s,4,1250m,0.01,464,3,
trainjob-0119121b-980e-49f0-846d-ec296bed4870-master-0   1/1     Running           0          6s,4,1250m,0.01,480,1,
trainjob-0450c2f5-0035-48f6-bf07-0680ae22721c-master-0   1/1     Running           0          6s,4,1250m,0.01,480,2,
trainjob-8bb80b24-3273-4c36-ab85-e54136921d83-master-0   1/1     Running   0          5s,4,1250m,0.01,480,3,
trainjob-dad0cb1d-7f0f-4f4b-bf6b-594af98e2552-master-0   1/1     Running           0          8s,4,1250m,0.01,496,1,
trainjob-ef381647-6b47-47d9-9460-5455d8b32aa2-master-0   1/1     Running   0          6s,4,1250m,0.01,496,2,
trainjob-f843a9e7-8da7-4ec9-a8c2-8eba9fc858bf-master-0   1/1     Running   0          5s,4,1250m,0.01,496,3,
trainjob-f551fa91-20c3-4d99-9f40-905765e5865f-master-0   1/1     Running           0          9s,4,1250m,0.01,512,1,
trainjob-9cbafd3d-6067-494c-8ff9-7f7ddff297d6-master-0   1/1     Running           0          6s,4,1250m,0.01,512,2,
trainjob-c2f37d7f-cd63-496f-b9fa-a53c073b1313-master-0   1/1     Running           0          6s,4,1250m,0.01,512,3,
trainjob-e7ab7594-9973-497e-a746-9bd74531c63c-master-0   1/1     Running           0          7s,4,1250m,0.01,528,1,
trainjob-fb63945b-8020-42eb-aa94-f5b319286d9d-master-0   1/1     Running   0          6s,4,1250m,0.01,528,2,
trainjob-bd719e16-07fa-40c0-b1b2-720bb5f1343f-master-0   1/1     Running   0          7s,4,1250m,0.01,528,3,
trainjob-267bea81-4a5a-4f97-8195-1d9fe7d409d4-master-0   1/1     Running   0          9s,4,1250m,0.01,544,1,
trainjob-08d5e59b-2aad-407d-a7f8-d4a7a6320e60-master-0   1/1     Running   0          5s,4,1250m,0.01,544,2,
trainjob-d8453eca-4fec-4ada-837d-87ba4578696a-master-0   1/1     Running   0          5s,4,1250m,0.01,544,3,
trainjob-1bf0faef-b2b8-4810-8467-6b3d10c515db-master-0   1/1     Running           0          7s,4,1250m,0.01,560,1,
trainjob-9e4c13be-be2c-4df9-bbbf-a0f9d4601be6-master-0   1/1     Running   0          6s,4,1250m,0.01,560,2,
trainjob-c3345d89-999b-4368-888f-9a7fcebfd16a-master-0   1/1     Running   0          5s,4,1250m,0.01,560,3,
trainjob-aa95e14e-c360-436c-afbe-5f9c5b6606bf-master-0   1/1     Running           0          6s,4,1250m,0.01,576,1,
trainjob-d85ff692-5c11-481d-bef9-2773e1469164-master-0   1/1     Running   0          6s,4,1250m,0.01,576,2,
trainjob-93e62ec6-d79c-4453-89f4-ca7b00b84b59-master-0   1/1     Running   0          6s,4,1250m,0.01,576,3,
trainjob-615d9422-3ab3-425e-ad55-b44ace671ff2-master-0   1/1     Running   0          8s,4,1250m,0.01,592,1,
trainjob-43c08a4a-2763-4500-9001-8889a93137cc-master-0   1/1     Running   0          5s,4,1250m,0.01,592,2,
trainjob-d8675ed6-1914-498d-998f-e0904d6c7c8b-master-0   1/1     Running   0          5s,4,1250m,0.01,592,3,
trainjob-91bb363d-ad98-4d28-b905-218ab29aa4c3-master-0   1/1     Running           0          7s,4,1250m,0.01,608,1,
trainjob-f4e643c4-6495-4efd-bf23-49422695a3d9-master-0   1/1     Running           0          5s,4,1250m,0.01,608,2,
trainjob-e142406f-8df6-4678-8132-48643bdd2171-master-0   1/1     Running   0          8s,4,1250m,0.01,608,3,
trainjob-3091ef4e-d3b0-4d90-b2eb-ab0c72a15b26-master-0   1/1     Running           0          7s,4,1250m,0.01,624,1,
trainjob-c204ba4c-bd70-491f-be6e-d7704381249f-master-0   1/1     Running           0          5s,4,1250m,0.01,624,2,
trainjob-8ecd9f2f-24f3-4ca3-bd42-116cf0b5c59a-master-0   1/1     Running   0          5s,4,1250m,0.01,624,3,
trainjob-254a03bf-1c67-4c92-bee8-2422a8f8dbfa-master-0   1/1     Running           0          6s,4,1250m,0.01,640,1,
trainjob-35d4bc93-233c-49bb-813b-08ea28da41d1-master-0   1/1     Running           0          6s,4,1250m,0.01,640,2,
trainjob-e89541fb-209b-41cc-b355-c08abb7844e9-master-0   1/1     Running   0          6s,4,1250m,0.01,640,3,
trainjob-b87afb14-3b88-4b1f-9104-446e8a30b0dc-master-0   1/1     Running   0          8s,4,1250m,0.01,656,1,
trainjob-b382c9f2-961e-4612-bc98-7827bc0589d5-master-0   1/1     Running   0          6s,4,1250m,0.01,656,2,
trainjob-65772b67-de2c-4371-923c-ffb37a139484-master-0   1/1     Running   0          6s,4,1250m,0.01,656,3,
trainjob-2d1a9793-3e40-4483-9330-7fb0df1cb663-master-0   1/1     Running           0          7s,4,1250m,0.01,672,1,
trainjob-6e3e2e02-b04d-4827-84b3-7fc2deab0f7c-master-0   1/1     Running           0          7s,4,1250m,0.01,672,2,
trainjob-92b581dd-aca5-4860-ac06-23a526b54191-master-0   1/1     Running           0          5s,4,1250m,0.01,672,3,
trainjob-086a0447-e656-4a3c-84bc-3eeb95cf9b2d-master-0   1/1     Running           0          6s,4,1250m,0.01,688,1,
trainjob-1e5b59ba-5855-4a08-9d31-7b29524f2c67-master-0   1/1     Running           0          5s,4,1250m,0.01,688,2,
trainjob-ab6cce75-838c-4d70-8a32-cfe55f0c2dfb-master-0   1/1     Running           0          7s,4,1250m,0.01,688,3,
trainjob-ed1bfbdb-90d9-4f01-bca5-c8bf31a12da0-master-0   1/1     Running           0          7s,4,1250m,0.01,704,1,
trainjob-8e45b62f-cacb-41e0-b84f-d83ddf7371eb-master-0   1/1     Running   0          6s,4,1250m,0.01,704,2,
trainjob-1e63fd41-3b29-41dc-b68f-07b863ec6328-master-0   1/1     Running   0          6s,4,1250m,0.01,704,3,
trainjob-7733e479-cf79-4572-9f67-c2b68ebaeefb-master-0   1/1     Running           0          6s,4,1250m,0.01,720,1,
trainjob-0f0837ff-48dd-426c-945f-320654e5335e-master-0   1/1     Running   0          5s,4,1250m,0.01,720,2,
trainjob-a1b0ebbb-a433-41a2-9692-102296ab5b78-master-0   1/1     Running           0          4s,4,1250m,0.01,720,3,
trainjob-df66915e-30bb-4570-9d5c-78d6c501bc89-master-0   1/1     Running           0          6s,4,1250m,0.01,736,1,
trainjob-4b632c13-332e-4a64-8f7c-406e675383af-master-0   1/1     Running   0          5s,4,1250m,0.01,736,2,
trainjob-da75664b-ac63-48ca-a190-098e6fbba66f-master-0   1/1     Running           0          5s,4,1250m,0.01,736,3,
trainjob-fc7e349f-e8fd-4f5f-be7c-6955df69d5c8-master-0   1/1     Running           0          7s,4,1250m,0.01,752,1,
trainjob-0ef06100-284e-4b26-91b7-28ed5b19c212-master-0   1/1     Running   0          6s,4,1250m,0.01,752,2,
trainjob-bfae3338-0cd0-4ed1-9a7d-8d6e43f0ba0a-master-0   1/1     Running           0          5s,4,1250m,0.01,752,3,
trainjob-e531495f-51cd-4d60-9be9-8b1915850e76-master-0   1/1     Running           0          6s,4,1250m,0.01,768,1,
trainjob-9861d258-0614-49bd-8e26-aea383987523-master-0   1/1     Running   0          5s,4,1250m,0.01,768,2,
trainjob-a73cb579-ccb0-4885-9bcc-df1f76961b6b-master-0   1/1     Running   0          5s,4,1250m,0.01,768,3,
trainjob-bea8235e-dc80-4bb4-bffa-4b4a4f456135-master-0   1/1     Running           0          7s,4,1250m,0.01,784,1,
trainjob-bf68b957-0030-457b-b552-7395f7435d96-master-0   1/1     Running           0          5s,4,1250m,0.01,784,2,
trainjob-2a13339b-aad2-4abb-a61b-da80523b95f9-master-0   1/1     Running           0          6s,4,1250m,0.01,784,3,
trainjob-36aeff28-e5de-49a9-a1aa-43722f24b23d-master-0   1/1     Running           0          6s,4,1250m,0.01,800,1,
trainjob-e61548c2-dd38-4e0d-8ceb-8b0191c9593e-master-0   1/1     Running   0          6s,4,1250m,0.01,800,2,
trainjob-3d827a07-f6e1-46c6-a004-2c5388284d3e-master-0   1/1     Running           0          5s,4,1250m,0.01,800,3,
trainjob-0eac7089-bb79-42fa-bdfd-8af04740c391-master-0   1/1     Running           0          6s,4,1250m,0.01,816,1,
trainjob-1d5ae8d7-346c-4310-854b-0f3449e2a532-master-0   1/1     Running           0          5s,4,1250m,0.01,816,2,
trainjob-df3e52ac-031f-4ba1-b7d8-d0afa55b377d-master-0   1/1     Running   0          6s,4,1250m,0.01,816,3,
trainjob-90fc44ae-83c2-452f-94b1-e2318887f6d0-master-0   1/1     Running           0          9s,4,1250m,0.01,832,1,
trainjob-c7830ca4-16b6-4aea-b22d-a75621eec21b-master-0   1/1     Running   0          5s,4,1250m,0.01,832,2,
trainjob-ae326967-bfc4-42d1-91ca-d5e558648f3b-master-0   1/1     Running   0          6s,4,1250m,0.01,832,3,
trainjob-c240c92b-2829-47d9-942d-88bd52eef65e-master-0   1/1     Running           0          6s,4,1250m,0.01,848,1,
trainjob-8c2e9b4b-cf50-4550-8a20-0f6748c68fb5-master-0   1/1     Running   0          6s,4,1250m,0.01,848,2,
trainjob-af9716e0-7cfb-4d7e-9841-b9d0a8354966-master-0   1/1     Running   0          5s,4,1250m,0.01,848,3,
trainjob-663985e8-6392-4e18-8222-cb315b6d53e6-master-0   1/1     Running           0          6s,4,1250m,0.01,864,1,
trainjob-2d3bfe19-b320-4b3a-9a59-3c435b11be7f-master-0   1/1     Running           0          6s,4,1250m,0.01,864,2,
trainjob-a23faba3-9efc-4cc0-a5b1-69cd42e1316a-master-0   1/1     Running   0          5s,4,1250m,0.01,864,3,
trainjob-e281f311-04bd-426b-a0af-4d6e2b93fcd5-master-0   1/1     Running           0          8s,4,1250m,0.01,880,1,
trainjob-9805d016-7549-432d-b8cf-201261877013-master-0   1/1     Running           0          6s,4,1250m,0.01,880,2,
trainjob-65969305-c75b-48a7-8107-1a9c4f2ac829-master-0   1/1     Running   0          5s,4,1250m,0.01,880,3,
trainjob-9ebdb91e-36ec-4e2a-9c3d-3dcbe7d94838-master-0   1/1     Running           0          6s,4,1250m,0.01,896,1,
trainjob-a43c3e41-1e44-456a-95e3-551e4d0c9b30-master-0   1/1     Running           0          6s,4,1250m,0.01,896,2,
trainjob-7dc9af89-6f6c-44d8-9d05-85ad885233f3-master-0   1/1     Running           0          6s,4,1250m,0.01,896,3,
trainjob-939b24bb-25fa-497c-9972-dad2c0ac96e9-master-0   1/1     Running           0          7s,4,1250m,0.01,912,1,
trainjob-472c545a-d9ac-4578-a34b-aa1e2f9181c3-master-0   1/1     Running   0          6s,4,1250m,0.01,912,2,
trainjob-bff088ab-84a6-47c5-912d-025374c40b44-master-0   1/1     Running   0          5s,4,1250m,0.01,912,3,
trainjob-0f7ae3d0-84bd-4420-89a9-0a224b1d7f32-master-0   1/1     Running           0          6s,4,1250m,0.01,928,1,
trainjob-08b859e7-a098-4f0a-88ab-96dbcb002044-master-0   1/1     Running   0          5s,4,1250m,0.01,928,2,
trainjob-e2cbecfd-eb52-4c55-b437-325d0bd38f4b-master-0   1/1     Running   0          5s,4,1250m,0.01,928,3,
trainjob-849a8724-b76b-4042-9ea1-459f2f0f8e5e-master-0   1/1     Running           0          7s,4,1250m,0.01,944,1,
trainjob-0b9bb878-3003-48cb-b418-f85478eff59f-master-0   1/1     Running   0          6s,4,1250m,0.01,944,2,
trainjob-3773c8e0-82da-4e50-b333-0b04853574ec-master-0   1/1     Running   0          5s,4,1250m,0.01,944,3,
trainjob-d3f6befb-e776-4238-b02b-d4c26da95152-master-0   1/1     Running           0          6s,4,1250m,0.01,960,1,
trainjob-0052bb4f-5043-4534-b5bf-ae5fbb57aebb-master-0   1/1     Running   0          5s,4,1250m,0.01,960,2,
trainjob-cc22e424-0ac5-4d4e-a70d-5705b5d7075b-master-0   1/1     Running   0          6s,4,1250m,0.01,960,3,
trainjob-b313083e-fdf9-4e11-a87c-0b03b4000890-master-0   1/1     Running           0          6s,4,1250m,0.01,976,1,
trainjob-9ba1fc57-6860-44fb-9699-bf9a03497fee-master-0   1/1     Running   0          5s,4,1250m,0.01,976,2,
trainjob-681247ba-fcf5-4216-88b6-a588d4868227-master-0   1/1     Running   0          5s,4,1250m,0.01,976,3,
trainjob-93a3af7a-ceae-4765-b4a7-8fca58eede36-master-0   1/1     Running           0          6s,4,1250m,0.01,992,1,
trainjob-1b0b4178-9b56-463c-95f9-eee75ae5d950-master-0   1/1     Running   0          7s,4,1250m,0.01,992,2,
trainjob-78150da0-49cf-4d25-bb00-f4da622fdd9a-master-0   1/1     Running           0          6s,4,1250m,0.01,992,3,
trainjob-a9271cfc-60c4-460c-b175-3b3f05fbc1ff-master-0   1/1     Running           0          6s,4,1250m,0.01,1008,1,
trainjob-19e26317-d4fc-43cf-8943-1b01ed38d404-master-0   1/1     Running   0          6s,4,1250m,0.01,1008,2,
trainjob-65e10510-1fce-4529-9871-2436f3459c8a-master-0   1/1     Running   0          6s,4,1250m,0.01,1008,3,
trainjob-db054c16-8120-4086-87a3-528fdbc58193-master-0   1/1     Running           0          6s,4,1250m,0.01,1024,1,
trainjob-906b75b4-9575-49b3-9569-6115be4fdb05-master-0   1/1     Running           0          6s,4,1250m,0.01,1024,2,
trainjob-082b75a5-f3a3-4f64-9db2-894eaad40cc4-master-0   1/1     Running           0          6s,4,1250m,0.01,1024,3,
